"","C1","C2","C3","C4","C5","R2","R3","R4","R5"
"ENSMUSG00000000001",11.0894164140414,13.0115877590075,13.3203700480294,11.8785451429594,13.3327375282685,13.3371227844124,13.6120847279222,14.9381205564257,12.8940815296883
"ENSMUSG00000000028",0.61521519529565,0.479016829423563,0.63362540079891,0.499003771166978,0.674420753725279,0.775254153952882,0.500834049906727,0.448587698465864,0.374209365353227
"ENSMUSG00000000031",280.760278841232,250.794625180331,268.871181271124,262.820854613447,242.61463956722,246.300977838748,267.898676206002,196.066263717958,275.070048835308
"ENSMUSG00000000049",0.159192022899221,0.663411715268793,0.217056127386779,1.45354675964724,0.15743960004801,0.18217513561103,0.281582855125002,0.34330930959749,1.44578080500404
"ENSMUSG00000000056",53.5479123429628,42.2325728254848,45.3570519659537,56.5947135338674,50.5491534835333,42.093914982129,41.0620206943675,40.0872390832138,51.8168876113249
"ENSMUSG00000000058",13.4996870931975,11.7990327154635,11.3149427537369,12.3248780404671,14.3707309783389,11.008359795621,10.9712926857303,11.4587960321418,14.2104819145914
"ENSMUSG00000000078",43.1249485426344,47.7646628592765,49.8813301828992,32.7056059267983,26.3229071336349,54.1695222213992,45.0226229460065,41.061502345811,28.9641187260728
"ENSMUSG00000000085",7.34865024239864,6.93015961791756,7.22392258797082,7.71337322280049,7.13991401371184,7.14636456677069,6.5059474004581,6.64190847159421,7.48003978396436
"ENSMUSG00000000088",41.9477143951104,39.0176346149447,40.6622020394611,41.6485645433066,40.6124296362715,38.0114965557234,39.1203795553161,36.0747513303608,43.9052198565954
"ENSMUSG00000000093",0.790745736758271,1.29895799601485,0.788646911775949,0.930147347230611,0.924302434496045,0.768900079932114,0.82730889215355,0.907819121571337,1.31578308953737
"ENSMUSG00000000094",1.382326047162,1.64629699445364,1.46608624800295,1.24050137911174,1.27690256688484,1.43964058478739,1.54274548975033,1.72540726810943,1.2395743397528
"ENSMUSG00000000120",5.22040708402532,5.47038474341801,5.31720059899224,6.23901347626478,5.81034076724508,6.38022586118189,5.96177201826795,5.58065441513104,6.12687384089302
"ENSMUSG00000000126",3.40823415510883,3.01161669336535,2.86651491349811,2.85288379362163,3.2555669013266,2.57620769680985,2.38168437858407,2.66221672405346,3.55322687899861
"ENSMUSG00000000127",5.76931385470091,5.52314150658876,4.79830305416812,5.93454787723474,5.26593192510043,5.50972205975634,5.174104361257,4.58866166179859,6.21961230122372
"ENSMUSG00000000131",25.2540859934131,26.5709984632429,27.4024014330895,24.8097207897317,27.4954181595356,26.8617952729563,27.7031614135343,29.951371166072,25.5232176736145
"ENSMUSG00000000134",4.07328562509085,5.78078264406418,5.96385537278119,4.54918912595582,4.92670866433307,5.70113327028839,6.26906141679308,6.34884253841292,6.08267404954742
"ENSMUSG00000000142",3.35967383227419,2.94907660509102,2.73243931657852,3.21290601000136,4.57257784196454,2.48583806225489,2.9712266074583,2.75200159376822,4.58254516430336
"ENSMUSG00000000148",2.78869627912837,2.96401478961427,2.73416975257572,2.24336283765183,2.95845697033043,3.68438476295995,3.47253098763399,3.45127129753073,2.75849903874726
"ENSMUSG00000000149",8.01177421597025,7.59156212372968,7.61673808478829,7.44378713865745,9.43590941650912,6.85621486757801,6.63132942775985,7.79359648475016,8.64089543108939
"ENSMUSG00000000168",58.4130858901965,56.6143297254962,56.0366479233362,58.5086695747252,54.5222981014457,50.5069768719484,49.5936506556333,43.0588396782669,55.8716890485081
"ENSMUSG00000000171",82.0819278958595,71.7680708999913,71.5267910346256,71.8136518044198,75.0916455353728,63.9015980966126,66.4728609434119,59.3757862103036,74.8892118032767
"ENSMUSG00000000183",2.14791872954977,1.96661508028008,1.71858699058157,3.24235096552122,2.62192846657895,1.46071433684989,1.7449819703081,1.17318071710366,2.52753389431232
"ENSMUSG00000000184",7.05625459818531,7.53072896532447,6.07549592438528,9.02824730196993,10.083349387283,6.43610939702505,6.51806962053746,8.75704138102709,8.92041197651347
"ENSMUSG00000000194",25.4612619839683,26.8389166730073,27.1570248684876,27.6629737122567,27.3838653113272,27.014551329458,26.7669929849038,26.5260507921612,26.8487576280933
"ENSMUSG00000000197",0.494457545563191,0.442739610231778,0.656574101938119,0.522778131577758,0.493183201788965,0.779620225032278,0.375777743711746,0.738967760499153,0.613065896169189
"ENSMUSG00000000204",0.270389634227798,0.442739610231778,0.346958434423334,0.515196086326883,0.529581556390544,0.321170224953412,0.417603712069364,0.53544119588211,0.321064193660157
"ENSMUSG00000000223",11.7352684065125,12.4489383678396,11.8515140736739,11.4276672350526,11.2728782639125,16.7332867476285,10.9688108447779,10.930644668278,17.0033715687994
"ENSMUSG00000000244",1.89226802243526,2.08573087190447,2.32039000772016,2.37068729496908,3.28627993781528,2.97230691160126,2.29005992524274,3.97721832529989,2.03487185184983
"ENSMUSG00000000248",1.56018082186154,1.39294532160172,1.30459356850637,1.54402070679986,1.63819136261013,1.52476576881115,1.30834531309215,1.20397780723631,1.25617062399945
"ENSMUSG00000000253",30.6194473828872,27.3404049026832,31.243043928445,31.9770969327623,30.0941656085971,29.9822625329208,26.6629759993106,26.3338812648967,28.9449138947858
"ENSMUSG00000000266",6.2089462721158,7.69647596429223,7.64530618292493,6.64595684064038,5.80792903690911,6.86468458891036,7.33552901418487,6.56956734498217,6.04972832953798
"ENSMUSG00000000275",9.49300011860381,11.0483393050987,11.1516546081958,10.8351930880616,10.133590446442,12.0807802178865,11.4436120242429,12.2866459619719,10.0143210335429
"ENSMUSG00000000276",8.87416390442891,9.70593295925571,8.59949242281181,8.81223425592531,10.4669138847447,8.96954853929739,9.32055097528039,10.0619556744156,10.5042993985369
"ENSMUSG00000000278",4.18433913411507,5.77836349135939,6.07615529002486,3.99493482048422,4.01961558214501,6.05874941136912,5.66083385700923,7.06203622821777,4.72643503194529
"ENSMUSG00000000282",2.03422773756617,3.0830485023684,3.00912754637348,2.02669348711678,2.78065791561476,3.08498845681698,3.36053144775192,4.21255271888762,3.60912079743818
"ENSMUSG00000000290",1.02505030318935,1.68176437574662,1.26253843116151,0.740431568370664,2.13391412445117,1.5305073931132,1.20757942426223,2.58412310254361,0.998907502339346
"ENSMUSG00000000295",2.12767724710932,1.55460875945809,1.58322591151817,2.16963311715536,2.19347023830214,1.87935135573077,1.59228612396382,1.52018663668719,1.77577947341176
"ENSMUSG00000000296",4.50180852989862,4.23328710848958,3.53122558990567,3.63325680662066,3.33216234535609,3.59021796183331,4.41722077709375,3.00518677804091,3.83115465012657
"ENSMUSG00000000303",0.188932982581997,0.261544518574019,0.409479079137285,0.357820799386446,0.497311493282033,0.307779304838597,0.264978490246378,0.453477739461885,0.560308442959914
